,RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,CIDADE,COD_CIDADE,ESTADO,COD_ESTADO,REGIÂO_ESTADO
0,RPMP COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA JURACY MAGALHAES, S/N",Centro,BRANCA,2.92,2.630,CIF,PETROBAHIA,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
1,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,"RODOVIA BR 101, KM 110,5, S/N",Zona Rural,PETROBRAS DISTRIBUIDORA S.A.,3.19,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
2,AUTO POSTO JONGA II COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"RODOVIA BR 101 KM 105, S/N ZONA RURAL",Vale do Sol,LARCO,3.38,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
3,POSTO TROPICAL DE COMBUSTIVEIS LTDA,"RUA PAULO AFONSO, 420",Praca Kennedy,ALESAT,3.3960000000000004,2.771,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
4,2 A COMERCIO DE COMBUSTIVEIS GNV E LUBRIFICANTES LTDA,"RODOVIA BR 101 KM 116, S/N SALA 01",Centro,LARCO,3.46,3.025,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
5,NOVO PLANALTO COMBUSTIVEIS E SERVICOS LTDA,"AVENIDA JURACY MAGALHÃES, S/N GALPÃO",Jardim Petrolar,PETROBRAS DISTRIBUIDORA S.A.,3.5189999999999997,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
6,COMERCIAL DE PRODUTOS DE PETROLEO ALAGOINHAS LTDA,"AVENIDA JURACY MAGALHAES, 409 POSTO",Centro,PETROBRAS DISTRIBUIDORA S.A.,3.55,2.791,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
7,MEIRELES COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA MARECHAL BITENCOURT, 94120",Centro,PETROSERRA,3.5589999999999997,2.764,CIF,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
8,2P COMERCIO DE DERIVADO DE PETROLEO LTDA - ME,"RUA DANTAS BIAO, SN",Alagoinhas Velha,PETROSERRA,3.59,-,-,-,17/08/2020,alagoinhas,342,Bahia,BA,Centro Subregional A (3A)
0,POSTO MACAUBENSE LTDA,"RUA CORONEL EMILIANO BALBINO, 59",Centro,PETROBRAS DISTRIBUIDORA S.A.,2.79,-,-,-,17/08/2020,barreiras,403,Bahia,BA,Capital Regional C (2C)
